Rolling_Avg_IN_LET,Rolling_Avg_OUT_LET
31.520000000000003,26.419999999999995
30.918702203781187,26.46459527640268
30.52082755176439,26.679980097623243
30.549226375132115,26.890741832792262
30.595381972520354,27.085894605238845
30.5900686516199,27.30028009072534
30.592810034885154,27.59206966928354
30.611429130691754,27.78423614702412
30.661498193392738,27.897817920460934
30.749383497001162,28.00806180543637
30.827000628423107,28.11676657344863
30.881566104420525,28.1982835176407
30.89843923237593,28.242695986116637
30.871895649227405,28.304044621382953
30.829842214508453,28.34719747813539
30.790022889291336,28.40062140767857
30.895835751228738,28.47784084929847
30.937714100057345,28.49671937960273
30.996120120565074,28.552516931390233
30.997206088021233,28.59354773410012
31.057231800624457,28.610672918183777
31.05194437211827,28.615121654820108
30.944650017480896,28.650707063969357
30.917922399137684,28.696009770292328
30.999849292078125,28.715312236770963
31.07973442639942,28.751775314880586
31.093686041145588,28.79
31.04088932618699,28.790238240038924
31.006787191665182,28.794224577367764
31.06840118912691,28.799999999999994
31.080279676020755,28.799999999999994
31.096349782517116,28.799999999999994
31.099399013173667,28.810978020985736
31.133704856588835,28.859631111722095
31.105550967260008,28.84070373376484
31.10000000000001,28.872012451402714
31.130810097271624,28.896818825504937
31.149294781591603,28.902530738488814
31.125738606653012,28.90171590711019
31.10000000000001,28.914033071297812
31.10000000000001,28.962164809663964
31.100686678577834,28.978057150715646
31.080261826674338,28.938945355774834
30.74921682877506,28.742821572338283
30.30669577791091,28.560206281007577
30.119371844366295,28.5
30.01692368969289,28.5
30.046972449228637,28.5
30.254792068786713,28.5
30.249940113883678,28.5
30.195576169041498,28.466609032842392
30.116544666159733,28.442318516537274
30.10000000000001,28.465008199960977
30.10000000000001,28.495917339123405
30.104608230948184,28.5
30.12453296227815,28.5061131196291
30.147584587737466,28.515647840581025
30.175408510885564,28.5
30.19466748163729,28.495683199420657
30.130972630322347,28.44376478770344
30.174575729821235,28.4677445547797
30.19996106548114,28.499940071190185
30.191226424936417,28.49122642493641
30.174219118133554,28.474219118133547
30.184915818244644,28.496498303155935
30.18313030846981,28.489432567860465
30.13902956469711,28.496074676509526
30.15797218999328,28.5
30.17657976927696,28.5
30.184382408796658,28.5
30.200000000000006,28.5
30.21284676027284,28.5
30.292457470564866,28.501247208463745
30.366741990056017,28.52702609511213
30.494572922318824,28.60000000000001
30.50067655877883,28.60000000000001
30.533299265568825,28.60000000000001
30.43035864398305,28.60000000000001
30.316654593025667,28.60000000000001
30.300536426945673,28.60000000000001
30.495863480577952,28.608131519987104
30.579153819362794,28.62972864139276
30.536407795336427,28.6615983528954
30.42605645288818,28.63838424102531
30.412253885388328,28.64429230386395
30.496070862038255,28.696935440827946
30.54011437361069,28.70101401097903
30.56069194652799,28.715367810498364
30.801586989032035,28.818673485729907
30.892146819089774,28.88908115000955
30.851441187569975,28.901803904819097
30.823607437867313,28.98302513035124
30.800246752324593,28.998215950085324
30.823405196764682,29.045075968171876
30.926156050999065,29.10039949677516
30.952170047466822,29.13350484277561
30.948430845121873,29.153821424134172
30.914079059551515,29.120496580501634
30.89999999999999,29.10000000000001
30.89999999999999,29.10000000000001
30.90196603727281,29.112650232115314
30.918469402187036,29.12736754270921
30.96200370874335,29.10855829418468
30.99145970753976,29.148314597395707
30.907750464787892,29.134037589291882
30.901168278586745,29.15851870676365
30.996666277584982,29.18666658112217
30.80621896132853,29.1833764779348
30.800060929700816,29.19919101590352
30.799999999999994,29.200000000000006
30.799999999999994,29.206058037811484
30.826047378873525,29.23261466583598
30.8699643132534,29.25550795603634
30.89528949754495,29.262489163914207
30.89999999999999,29.260579149943407
30.904940640971517,29.239181243950867
30.930478448934135,29.235072155266135
30.939111072319132,29.268170146842138
30.90216197176539,29.23326231713581
30.90103088508001,29.269651276047853
30.937204152162284,29.28465419570854
30.99999205298113,29.29999605162146
30.921316004596523,29.260677803397957
30.59746122295883,29.095037156804782
30.425328454001708,28.99880797183563
30.310820082892487,28.921155147169024
30.25013149076401,28.898338835981807
30.266511697668932,28.898883108599897
30.29545728222075,28.88673583817889
30.299999999999994,28.88762398896996
30.299999999999994,28.880309656451956
30.287073316940205,28.83303154107379
30.225295908941558,28.815999331474238
30.200000000000006,28.799999999999994
30.20101238570638,28.799999999999994
30.234324174265062,28.799999999999994
30.299997013935645,28.799999999999994
30.29668958339778,28.799999999999994
30.299878466410927,28.799999999999994
30.299999999999994,28.799999999999994
30.299999999999994,28.799999999999994
30.302558664925993,28.799999999999994
30.303333333333327,28.799999999999994
30.302236136518975,28.799999999999994
30.279874594699546,28.799999999999994
30.274128763708248,28.798463378625495
30.272897872628217,28.786033208527893
30.205811521746508,28.776060905446133
30.19854370180304,28.786242721548206
30.1868001979447,28.777322761634025
30.108048007026653,28.742570349081642
30.09624017147961,28.700000000000006
30.077751413982703,28.700000000000006
30.03116871537182,28.677390274522416
30.04702844578406,28.693923619173844
30.12653288515339,28.756899564648016
30.267407990519782,28.864552534108043
30.37716195527425,28.966251789001166
30.41098463686848,29.000948832033764
30.461590812107065,29.053957801760014
30.50455733158951,29.097713170267575
30.540011620114793,29.10000000000001
30.60000000000001,29.10000000000001
30.60000000000001,29.10000000000001
30.60000000000001,29.10000000000001
30.59881110763689,29.10000000000001
30.54159652949583,29.10000000000001
30.501589388644724,29.10000000000001
30.4390220535911,29.08313827457589
30.291920284624513,28.99769232195706
30.204983810550495,28.90326589796857
30.063336984517523,28.78930422976433
30.061997293760882,28.79210664776877
30.09075592310417,28.797968086481433
30.09907435607779,28.798370989812753
30.10000000000001,28.795541997921884
30.090489476492355,28.76951163472137
30.08454503467936,28.76264508899005
30.216810803459396,28.860065372128005
30.392905467682695,28.959399986471283
30.462802930886323,29.014365245488452
30.501442413351125,29.07824728170606
30.5258643267985,29.099984879662358
30.598704401251307,29.10000000000001
30.60000000000001,29.10000000000001
30.672929859583995,29.165894991556314
