Unnamed: 2,Unnamed: 3,Unnamed: 4
,27.1,27.1
,27.1,27.1
,27.1,27.1
,27.1,27.1
,27.2,27.1
,27.2,27.1
,27.2,27.1
,27.2,27.1
,27.2,27.2
,27.3,27.3
,27.3,27.4
,27.4,27.5
,27.5,27.6
,27.6,27.6
,27.9,27.7
,28.1,27.7
,28.3,27.6
,28.7,27.6
,28.9,27.6
,29.1,27.6
,29.2,27.6
,29.2,27.6
,29.3,27.7
,29.3,27.8
,29.3,27.8
,29.3,28.0
,29.3,28.1
,29.3,28.3
,29.3,28.5
,29.2,28.8
,29.2,29.1
,29.2,29.3
,29.2,29.4
,29.2,29.4
,29.2,29.4
,29.2,29.4
,29.1,29.4
,29.1,29.4
,29.1,29.3
,29.0,29.3
,29.0,29.2
,29.0,29.2
,29.0,29.2
,29.0,29.1
,28.9,29.1
,28.9,29.1
,28.9,29.1
,28.9,29.1
,28.9,29.1
,28.9,29.0
,28.9,29.0
,28.8,29.0
,28.8,29.0
,28.8,29.0
,28.8,28.9
,28.8,28.9
,28.8,28.9
,28.8,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.9
,28.7,28.8
,28.7,28.8
,28.7,28.8
,28.7,28.8
,28.7,28.8
,28.7,28.8
,28.7,28.8
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.7
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.5,28.6
,28.5,28.6
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.5,28.5
,28.6,28.5
,28.6,28.5
,28.6,28.5
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.6,28.6
,28.7,28.6
,28.7,28.6
,28.7,28.6
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.7,28.7
,28.8,28.7
,28.8,28.7
,28.8,28.7
,28.8,28.7
,28.8,28.7
,28.8,28.8
,28.8,28.8
,28.8,28.8
,28.8,28.8
,28.8,28.8
,28.8,28.8
,28.8,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.8
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,29.1,29.0
,29.0,28.9
,29.0,28.9
,29.0,28.9
,29.0,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,28.9,28.9
,29.0,29.0
,29.1,28.8
,29.1,28.3
,29.1,28.5
,29.1,28.5
,29.1,28.3
,28.9,26.3
,28.8,25.9
,28.6,26.0
,28.5,26.0
,28.5,26.0
,28.5,25.9
,28.5,25.9
,28.5,25.9
,28.5,25.9
,28.5,25.9
,28.6,26.1
,28.5,26.0
,28.5,25.9
,28.5,26.0
,28.5,26.0
,28.5,26.1
,28.5,26.0
,28.5,26.0
,28.5,26.0
,28.7,26.0
,28.9,26.0
,29.1,26.0
,29.3,26.0
,29.4,26.1
,29.3,26.1
,29.2,26.1
,29.2,26.1
,29.2,26.1
,29.1,26.1
,29.2,26.1
,29.2,26.1
,29.2,26.1
,29.3,26.1
,29.3,26.1
,29.3,26.1
,29.3,26.2
,29.4,26.2
,29.4,26.1
,29.4,26.1
,29.4,26.1
,29.5,26.2
,29.5,26.1
,29.5,26.3
,29.5,26.2
,29.5,26.3
,29.5,26.2
,29.6,26.2
,29.6,26.2
,29.6,26.1
,29.6,26.1
,29.6,26.1
,29.6,26.1
,29.6,26.1
,29.7,26.1
,29.6,26.1
,29.7,26.1
,29.7,26.1
,29.7,26.1
,29.7,26.1
,29.7,26.1
,29.7,26.1
,29.7,26.1
,29.7,26.1
,29.705182048582678,26.09797255039576
,29.710364097165357,26.095945100791518
,29.715546145748036,26.093917651187276
,29.720728194330714,26.091890201583034
,29.725910242913393,26.089862751978792
,29.731092291496072,26.08783530237455
,29.73627434007875,26.08580785277031
,29.74145638866143,26.083780403166067
,29.74663843724411,26.081752953561825
,29.751820485826787,26.079725503957583
,29.757002534409466,26.07769805435334
,29.762184582992145,26.0756706047491
,29.767366631574824,26.073643155144858
,29.772548680157502,26.071615705540616
,29.77773072874018,26.069588255936374
,29.78291277732286,26.067560806332132
,29.78809482590554,26.06553335672789
,29.793276874488217,26.06350590712365
,29.798458923070896,26.061478457519407
,29.803640971653575,26.059451007915165
,29.808823020236254,26.057423558310923
,29.814005068818933,26.05539610870668
,29.81918711740161,26.05336865910244
,29.82436916598429,26.051341209498197
,29.82955121456697,26.049313759893955
,29.834733263149648,26.047286310289714
,29.839915311732327,26.045258860685472
,29.845097360315005,26.04323141108123
,29.850279408897684,26.041203961476988
,29.855461457480363,26.039176511872746
,29.86064350606304,26.037149062268504
,29.86582555464572,26.035121612664263
,29.8710076032284,26.03309416306002
,29.876189651811078,26.03106671345578
,29.881371700393757,26.029039263851537
,29.886553748976436,26.027011814247295
,29.891735797559114,26.024984364643053
,29.896917846141793,26.02295691503881
,29.902099894724472,26.02092946543457
,29.90728194330715,26.018902015830328
,29.91246399188983,26.016874566226086
,29.91764604047251,26.014847116621844
,29.922828089055187,26.012819667017602
,29.928010137637866,26.01079221741336
,29.933192186220545,26.00876476780912
,29.938374234803224,26.006737318204877
,29.943556283385902,26.004709868600635
,29.94873833196858,26.002682418996393
,29.95392038055126,26.00065496939215
,29.95910242913394,25.99862751978791
,29.964284477716618,25.996600070183668
,29.969466526299296,25.994572620579426
,29.974648574881975,25.992545170975184
,29.979830623464654,25.990517721370942
,29.985012672047333,25.9884902717667
,29.99019472063001,25.98646282216246
,29.99537676921269,25.984435372558217
,30.00055881779537,25.982407922953975
,30.005740866378048,25.980380473349733
,30.010922914960727,25.97835302374549
,30.016104963543405,25.97632557414125
,30.021287012126084,25.974298124537007
,30.026469060708763,25.972270674932766
,30.03165110929144,25.970243225328524
,30.03683315787412,25.968215775724282
,30.0420152064568,25.96618832612004
,30.047197255039478,25.9641608765158
,30.052379303622157,25.962133426911556
,30.057561352204836,25.960105977307315
,30.062743400787515,25.958078527703073
,30.067925449370193,25.95605107809883
,30.073107497952872,25.95402362849459
,30.07828954653555,25.951996178890347
,30.08347159511823,25.949968729286105
,30.08865364370091,25.947941279681864
,30.093835692283587,25.94591383007762
,30.099017740866266,25.94388638047338
,30.104199789448945,25.941858930869138
,30.109381838031624,25.939831481264896
,30.114563886614302,25.937804031660654
,30.11974593519698,25.935776582056413
,30.12492798377966,25.93374913245217
,30.13011003236234,25.93172168284793
