IN_LET,OUT_LET
30,28.2
30,28.2
30,28.2
30,28.2
30,28.2
30,28.2
30,27.9
30,27.9
30,27.9
30,27.9
30,27.9
30,27.9
30,27.9
30,28
30,28
30,28
30,28
30,28
30,28.1
30,28.1
30,28.1
30,28.1
30,28.1
30.00001083,28.10000602
30.00004326,28.10002403
30.0000972,28.100054
30.00017257,28.10009587
30.00026927,28.1001496
30.00038723,28.10021513
30.00052635,28.10029242
30.00068656,28.10038142
30.00086775,28.10048208
30.00106985,28.10059436
30.00129276,28.1007182
30.00153641,28.10085356
30.0018007,28.10100039
30.00208554,28.10115863
30.00239086,28.10132825
30.00271655,28.1015092
30.00306255,28.10170142
30.00342875,28.10190486
30.00381508,28.10211949
30.00422144,28.10234524
30.00464775,28.10258208
30.00509392,28.10282995
30.00555986,28.10308881
30.00604549,28.10335861
30.00655073,28.10363929
30.00707547,28.10393082
30.00761964,28.10423314
30.00818316,28.1045462
30.00876592,28.10486996
30.00936785,28.10520436
30.00998887,28.10554937
30.01062887,28.10590493
30.01128778,28.10627099
30.0119655,28.1066475
30.01266196,28.10703442
30.01337706,28.1074317
30.01411072,28.10783929
30.01486285,28.10825714
30.01563337,28.1086852
30.01642218,28.10912343
30.0172292,28.10957178
30.01805434,28.11003019
30.01889752,28.11049862
30.01975865,28.11097703
30.02063764,28.11146535
30.0215344,28.11196356
30.02244886,28.11247159
30.02338091,28.1129894
30.02433048,28.11351694
30.02529748,28.11405416
30.02628182,28.11460101
30.02728341,28.11515745
30.02830217,28.11572343
30.02933801,28.11629889
30.03039084,28.1168838
30.03146058,28.1174781
30.03254713,28.11808174
30.03365042,28.11869468
30.03477036,28.11931687
30.03590685,28.11994825
30.03705981,28.12058879
30.03822916,28.12123842
30.03941481,28.12189712
30.04061667,28.12256481
30.04183465,28.12324147
30.04306866,28.12392704
30.04431863,28.12462146
30.04558446,28.1253247
30.04686607,28.1260367
30.04816336,28.12675742
30.04947626,28.12748681
30.05080467,28.12822482
30.05214851,28.1289714
30.0535077,28.1297265
30.05488213,28.13049007
30.05627174,28.13126208
30.05767643,28.13204246
30.0590961,28.13283117
30.06053069,28.13362816
30.0619801,28.13443339
30.06344424,28.1352468
30.06492302,28.13606835
30.06641637,28.13689798
30.06792418,28.13773566
30.06944639,28.13858133
30.07098289,28.13943494
30.0725336,28.14029644
30.07409843,28.1411658
30.07567731,28.14204295
30.07727013,28.14292785
30.07887682,28.14382046
30.08049729,28.14472072
30.08213144,28.14562858
30.0837792,28.146544
30.08544048,28.14746693
30.08711518,28.14839732
30.08880323,28.14933513
30.09050453,28.15028029
30.092219,28.15123278
30.09394655,28.15219253
30.0956871,28.1531595
30.09744055,28.15413364
30.09920683,28.1551149
30.10098584,28.15610324
30.10277749,28.15709861
30.10458171,28.15810095
30.1063984,28.15911022
30.10822747,28.16012637
30.11006885,28.16114936
30.11192243,28.16217913
30.11378814,28.16321564
30.11566589,28.16425883
30.1175556,28.16530866
30.11945716,28.16636509
30.12137051,28.16742806
30.12329554,28.16849752
30.12523218,28.16957343
30.12718034,28.17065574
30.12913992,28.1717444
30.13111085,28.17283936
30.13309304,28.17394058
30.13508639,28.175048
30.13709083,28.17616157
30.13910626,28.17728126
30.1411326,28.178407
30.14316977,28.17953876
30.14521766,28.18067648
30.14727621,28.18182012
30.14934531,28.18296962
30.15142489,28.18412494
30.15351486,28.18528603
30.15561513,28.18645285
30.15772561,28.18762534
30.15984621,28.18880345
30.16197686,28.18998714
30.16411746,28.19117636
30.16626792,28.19237107
30.16842816,28.1935712
30.1705981,28.19477672
30.17277763,28.19598757
30.17496669,28.19720372
30.17716518,28.1984251
30.17937301,28.19965167
30.1815901,28.20088339
30.18381635,28.2021202
30.1860517,28.20336205
30.18829603,28.20460891
30.19054928,28.20586071
30.19281135,28.20711742
30.19508215,28.20837897
30.19736161,28.20964534
30.19964962,28.21091646
30.20194611,28.21219228
30.20425099,28.21347277
30.20656417,28.21475787
30.20888556,28.21604753
30.21121508,28.21734171
30.21355264,28.21864036
30.21589815,28.21994342
30.21825153,28.22125085
30.22061269,28.22256261
30.22298154,28.22387863
30.225358,28.22519889
30.22774197,28.22652332
30.23013338,28.22785188
30.23253213,28.22918452
30.23493814,28.23052119
30.23735132,28.23186185
30.23977159,28.23320644
30.24219885,28.23455492
30.24463302,28.23590723
30.24707402,28.23726334
30.24952175,28.23862319
30.25197613,28.23998674
30.25443707,28.24135393
30.25690449,28.24272472
30.2593783,28.24409905
30.26185841,28.24547689
30.26434473,28.24685818
30.26683718,28.24824288
30.26933568,28.24963093
30.27184012,28.25102229
30.27435044,28.25241691
30.27686653,28.25381474
30.27938832,28.25521573
30.28191571,28.25661984
30.28444863,28.25802702
30.28698697,28.25943721
30.28953066,28.26085037
30.29207962,28.26226645
30.29463374,28.26368541
30.29719294,28.26510719
30.29975715,28.26653175
30.30232626,28.26795904
30.3049002,28.269389
30.30747888,28.2708216
30.31006221,28.27225678
30.3126501,28.2736945
30.31524247,28.2751347
30.31783922,28.27657735
30.32044028,28.27802238
30.32304556,28.27946975
30.32565496,28.28091942
30.32826841,28.28237134
30.33088581,28.28382545
30.33350708,28.28528171
30.33613212,28.28674007
30.33876087,28.28820048
30.34139322,28.2896629
30.34402909,28.29112727
30.34666839,28.29259355
30.34931104,28.29406169
30.35195695,28.29553164
30.35460604,28.29700335
30.3572582,28.29847678
30.35991337,28.29995187
30.36257145,28.30142858
30.36523236,28.30290686
30.367896,28.30438666
30.37056229,28.30586794
30.37323115,28.30735064
30.37590248,28.30883471
30.37857621,28.31032011
30.38125223,28.3118068
30.38393048,28.31329471
30.38661085,28.31478381
30.38929327,28.31627404
30.39197764,28.31776536
30.39466388,28.31925771
30.39735191,28.32075106
30.40004162,28.32224535
30.40273295,28.32374053
30.4054258,28.32523655
30.40812008,28.32673338
30.41081571,28.32823095
30.4135126,28.32972922
30.41621066,28.33122814
30.41890981,28.33272767
30.42160996,28.33422775
30.42431102,28.33572834
30.4270129,28.33722939
30.42971553,28.33873085
30.43241881,28.34023267
30.43512265,28.34173481
30.43782697,28.34323721
30.44053168,28.34473982
30.4432367,28.34624261
30.44594193,28.34774552
30.4486473,28.3492485
30.4513527,28.3507515
30.45405807,28.35225448
30.4567633,28.35375739
30.45946832,28.35526018
30.46217303,28.35676279
30.46487735,28.35826519
30.46758119,28.35976733
30.47028447,28.36126915
30.4729871,28.36277061
30.47568898,28.36427166
30.47839004,28.36577225
30.48109019,28.36727233
30.48378934,28.36877186
30.4864874,28.37027078
30.48918429,28.37176905
30.49187992,28.37326662
30.4945742,28.37476345
30.49726705,28.37625947
30.49995838,28.37775465
30.50264809,28.37924894
30.50533612,28.38074229
30.50802236,28.38223464
30.51070673,28.38372596
30.51338915,28.38521619
30.51606952,28.38670529
30.51874777,28.3881932
30.52142379,28.38967989
30.52409752,28.39116529
30.52676885,28.39264936
30.52943771,28.39413206
30.532104,28.39561334
30.53476764,28.39709314
30.53742855,28.39857142
30.54008663,28.40004813
30.5427418,28.40152322
30.54539396,28.40299665
30.54804305,28.40446836
30.55068896,28.40593831
30.55333161,28.40740645
30.55597091,28.40887273
30.55860678,28.4103371
30.56123913,28.41179952
30.56386788,28.41325993
30.56649292,28.41471829
30.56911419,28.41617455
30.57173159,28.41762866
30.57434504,28.41908058
30.57695444,28.42053025
30.57955972,28.42197762
30.58216078,28.42342265
30.58475753,28.4248653
30.5873499,28.4263055
30.58993779,28.42774322
30.59252112,28.4291784
30.5950998,28.430611
30.59767374,28.43204096
30.60024285,28.43346825
30.60280706,28.43489281
30.60536626,28.43631459
30.60792038,28.43773355
30.61046934,28.43914963
30.61301303,28.44056279
30.61555137,28.44197298
30.61808429,28.44338016
30.62061168,28.44478427
30.62313347,28.44618526
30.62564956,28.44758309
30.62815988,28.44897771
30.63066432,28.45036907
30.63316282,28.45175712
30.63565527,28.45314182
30.63814159,28.45452311
30.6406217,28.45590095
30.64309551,28.45727528
30.64556293,28.45864607
30.64802387,28.46001326
30.65047825,28.46137681
30.65292598,28.46273666
30.65536698,28.46409277
30.65780115,28.46544508
30.66022841,28.46679356
30.66264868,28.46813815
30.66506186,28.46947881
30.66746787,28.47081548
30.66986662,28.47214812
30.67225803,28.47347668
30.674642,28.47480111
30.67701846,28.47612137
30.67938731,28.47743739
30.68174847,28.47874915
30.68410185,28.48005658
30.68644736,28.48135964
30.68878492,28.48265829
30.69111444,28.48395247
30.69343583,28.48524213
30.69574901,28.48652723
30.69805389,28.48780772
30.70035038,28.48908354
30.70263839,28.49035466
30.70491785,28.49162103
30.70718865,28.49288258
30.70945072,28.49413929
30.71170397,28.49539109
30.7139483,28.49663795
30.71618365,28.4978798
30.7184099,28.49911661
30.72062699,28.50034833
30.72283482,28.5015749
30.72503331,28.50279628
30.72722237,28.50401243
30.7294019,28.50522328
30.73157184,28.5064288
30.73373208,28.50762893
30.73588254,28.50882364
30.73802314,28.51001286
30.74015379,28.51119655
30.74227439,28.51237466
30.74438487,28.51354715
30.74648514,28.51471397
30.74857511,28.51587506
30.75065469,28.51703038
30.75272379,28.51817988
30.75478234,28.51932352
30.75683023,28.52046124
30.7588674,28.521593
30.76089374,28.52271874
30.76290917,28.52383843
30.76491361,28.524952
30.76690696,28.52605942
30.76888915,28.52716064
30.77086008,28.5282556
30.77281966,28.52934426
30.77476782,28.53042657
30.77670446,28.53150248
30.77862949,28.53257194
30.78054284,28.53363491
30.7824444,28.53469134
30.78433411,28.53574117
30.78621186,28.53678436
30.78807757,28.53782087
30.78993115,28.53885064
30.79177253,28.53987363
30.7936016,28.54088978
30.79541829,28.54189905
30.79722251,28.54290139
30.79901416,28.54389676
30.80079317,28.5448851
30.80255945,28.54586636
30.8043129,28.5468405
30.80605345,28.54780747
30.807781,28.54876722
30.80949547,28.54971971
30.81119677,28.55066487
30.81288482,28.55160268
30.81455952,28.55253307
30.8162208,28.553456
